"Date","Price","Open","High","Low","Vol.","Change %"
"04/19/2024","75.6800","75.8300","75.8850","75.7400","","-0.01%"
"04/18/2024","75.6900","75.7650","75.8700","75.7500","","0.04%"
"04/17/2024","75.6600","75.7550","75.8700","75.7400","","-0.04%"
"04/16/2024","75.6900","75.6950","75.8150","75.6800","","0.13%"
"04/15/2024","75.5900","75.6850","75.7600","75.6700","","0.01%"
"04/12/2024","75.5800","75.6950","75.7050","75.6700","","0.01%"
"04/11/2024","75.5700","75.6950","75.7000","75.6750","","0.01%"
"04/10/2024","75.5600","75.6850","75.7450","75.6550","","-0.04%"
"04/09/2024","75.5900","75.7350","75.7750","75.6300","","-0.04%"
"04/08/2024","75.6200","75.6900","75.8200","75.6450","","0.00%"
"04/05/2024","75.6200","75.7100","75.8150","75.6450","","-0.05%"
"04/04/2024","75.6600","75.7150","75.8200","75.6650","","0.00%"
"04/03/2024","75.6600","75.6550","75.8200","75.6000","","0.05%"
"04/02/2024","75.6200","75.7150","75.8150","75.6350","","-0.04%"
"04/01/2024","75.6500","75.6900","75.8600","75.6250","","0.13%"
"03/29/2024","75.5500","75.7300","75.8650","75.6150","","-0.07%"
"03/28/2024","75.6000","75.7300","75.8600","75.6300","","0.03%"
"03/27/2024","75.5800","75.7200","75.8650","75.6300","","-0.04%"
"03/26/2024","75.6100","75.7900","75.8650","75.6700","","-0.07%"
"03/25/2024","75.6600","75.7550","76.0000","75.6800","","-0.01%"
"03/22/2024","75.6700","75.8400","76.0550","75.7150","","-0.15%"
"03/21/2024","75.7800","75.8350","76.0250","75.7550","","0.11%"